# Sampled Cherenkov distribution and DOM wavelength acceptance
# wavelength (nm), Cherenkov light dN_dXdwlen, IceCube DOM wavelength acceptance
2.600000000000000000e+02,1.514922638571435746e-07,7.534662463015657846e-05
2.650000000000000000e+02,1.454305268291472922e-07,7.534662463015657846e-05
2.700000000000000000e+02,1.397235743994488307e-07,7.534662463015657846e-05
2.750000000000000000e+02,1.343447504066878573e-07,7.534662463015657846e-05
2.800000000000000000e+02,1.292698131450364743e-07,7.534662463015657846e-05
2.850000000000000000e+02,1.244766800707588171e-07,7.534662463015657846e-05
2.900000000000000000e+02,1.199452033266050799e-07,7.534662463015642938e-05
2.950000000000000000e+02,1.156569719132579423e-07,5.050706521618813160e-05
3.000000000000000000e+02,1.115951369606625542e-07,2.566750580222550894e-05
3.050000000000000000e+02,1.077442570738757861e-07,7.946767230877576586e-04
3.100000000000000000e+02,1.040901611660426273e-07,1.563685940373281619e-03
3.150000000000000000e+02,1.006198265598175226e-07,4.026371016520452484e-03
3.200000000000000000e+02,9.732127044984462844e-08,6.489056092667635708e-03
3.250000000000000000e+02,9.418345308248013021e-08,1.314310006328187758e-02
3.300000000000000000e+02,9.119619123268247466e-08,1.979714403389614547e-02
3.350000000000000000e+02,8.835008074845655586e-08,3.091661583775143565e-02
3.400000000000000000e+02,8.563642709574664605e-08,4.203608764160673972e-02
3.450000000000000000e+02,8.304718297570122329e-08,5.683396526446585911e-02
3.500000000000000000e+02,8.057489220543582129e-08,7.163184288732488136e-02
3.550000000000000000e+02,7.821263915587244658e-08,7.936934637663013714e-02
3.600000000000000000e+02,7.595400312848358626e-08,8.710684986593544843e-02
3.650000000000000000e+02,7.379301712894831207e-08,9.644144909274773858e-02
3.700000000000000000e+02,7.172413056162999595e-08,1.057760483195601120e-01
3.750000000000000000e+02,6.974217542591240189e-08,1.108365056907443802e-01
3.800000000000000000e+02,6.784233564504783335e-08,1.158969630619286761e-01
3.850000000000000000e+02,6.602011920135364122e-08,1.197052245062830839e-01
3.900000000000000000e+02,6.427133278924305923e-08,1.235134859506375055e-01
3.950000000000000000e+02,6.259205873046176591e-08,1.265450075640389138e-01
4.000000000000000000e+02,6.097863392468319560e-08,1.295765291774403083e-01
4.050000000000000000e+02,5.942763063383956764e-08,1.314759012514763181e-01
4.100000000000000000e+02,5.793583892071877666e-08,1.333752733255123002e-01
4.150000000000000000e+02,5.650025058183860131e-08,1.334984726822973089e-01
4.200000000000000000e+02,5.511804443177386539e-08,1.336216720390822899e-01
4.250000000000000000e+02,5.378657281125528773e-08,1.319295785037130075e-01
4.300000000000000000e+02,5.250334920474029003e-08,1.302374849683437252e-01
4.350000000000000000e+02,5.126603686500052330e-08,1.282283428512955292e-01
4.400000000000000000e+02,5.007243835276677678e-08,1.262192007342472777e-01
4.450000000000000000e+02,4.892048590878813063e-08,1.241008724573943733e-01
4.500000000000000000e+02,4.780823258394361537e-08,1.219825441805414551e-01
4.550000000000000000e+02,4.673384406041373494e-08,1.192412709095941603e-01
4.600000000000000000e+02,4.569559110348716984e-08,1.164999976386468655e-01
