# Sampled DOM angular sensitivity curve, as.h1-100cm model
# coszen,sensitivity
-1.000000000000000000e+00,2.759000000000011443e-03
-9.799999999999999822e-01,3.257674721383510552e-03
-9.599999999999999645e-01,3.345582903260702068e-03
-9.399999999999999467e-01,3.335456472994755006e-03
-9.200000000000000400e-01,3.462628315412726032e-03
-9.000000000000000222e-01,3.897400323335936667e-03
-8.800000000000000044e-01,4.756082341551899628e-03
-8.599999999999999867e-01,6.110791628227162098e-03
-8.399999999999999689e-01,7.998099679923410810e-03
-8.200000000000000622e-01,1.042661043828127174e-02
-8.000000000000000444e-01,1.338355102310391856e-02
-7.800000000000000266e-01,1.684045322294796393e-02
-7.600000000000000089e-01,2.075800102543511744e-02
-7.399999999999999911e-01,2.509011649031585300e-02
-7.199999999999999734e-01,2.978735326381917736e-02
-6.999999999999999556e-01,3.479966400802402687e-02
-6.799999999999999378e-01,4.007860497885816498e-02
-6.599999999999999201e-01,4.557903793586592922e-02
-6.400000000000000133e-01,5.126038651107536065e-02
-6.199999999999999956e-01,5.708750110812820661e-02
-5.999999999999999778e-01,6.303118335129598293e-02
-5.800000000000000711e-01,6.906841806209032542e-02
-5.600000000000000533e-01,7.518235771386652666e-02
-5.400000000000000355e-01,8.136210130710745669e-02
-5.200000000000000178e-01,8.760230662495431531e-02
-5.000000000000000000e-01,9.390267187499999613e-02
-4.799999999999999822e-01,1.002673198043803199e-01
-4.599999999999999645e-01,1.067041144957679433e-01
-4.399999999999999467e-01,1.132239382169888398e-01
-4.200000000000000400e-01,1.198399529116249834e-01
-4.000000000000000222e-01,1.265668681871359724e-01
-3.800000000000000044e-01,1.334202349857035730e-01
-3.599999999999999867e-01,1.404157815161825862e-01
-3.399999999999999689e-01,1.475688054881999223e-01
-3.199999999999999512e-01,1.548936342265832267e-01
-2.999999999999999334e-01,1.624031618609040051e-01
-2.800000000000000266e-01,1.701084704859799901e-01
-2.600000000000000089e-01,1.780185399796798407e-01
-2.399999999999999911e-01,1.861400490493104742e-01
-2.199999999999999734e-01,1.944772680622213201e-01
-1.999999999999999556e-01,2.030320423050240575e-01
-1.799999999999999378e-01,2.118038625139929410e-01
-1.600000000000000311e-01,2.207900178317625528e-01
-1.400000000000000133e-01,2.299858247773690634e-01
-1.199999999999999956e-01,2.393849243729787024e-01
-9.999999999999997780e-02,2.489796382562960708e-01
-7.999999999999996003e-02,2.587613734276413280e-01
-5.999999999999994227e-02,2.687210642400120197e-01
-4.000000000000003553e-02,2.788496393440957899e-01
-2.000000000000001776e-02,2.891385005531590946e-01
0.000000000000000000e+00,2.995800000000000129e-01
2.000000000000001776e-02,3.101679015246992521e-01
4.000000000000003553e-02,3.208978119627321490e-01
6.000000000000005329e-02,3.317675679030966940e-01
8.000000000000007105e-02,3.427775635604621840e-01
1.000000000000000888e-01,3.539310056589360931e-01
1.200000000000001066e-01,3.652340816628744102e-01
1.400000000000001243e-01,3.766960283172088308e-01
1.599999999999999201e-01,3.883290882810261357e-01
1.799999999999999378e-01,4.001483436585979159e-01
1.999999999999999556e-01,4.121714164567039651e-01
2.199999999999999734e-01,4.244180274309290457e-01
2.399999999999999911e-01,4.369094064316023651e-01
2.600000000000000089e-01,4.496675492272059760e-01
2.800000000000000266e-01,4.627143178743721164e-01
3.000000000000000444e-01,4.760703840240240181e-01
3.200000000000000622e-01,4.897540171077695570e-01
3.400000000000000799e-01,5.037797221423186977e-01
3.600000000000000977e-01,5.181567349274728285e-01
3.800000000000001155e-01,5.328873857000792080e-01
4.000000000000001332e-01,5.479653458472961702e-01
4.199999999999999289e-01,5.633737760824993890e-01
4.399999999999999467e-01,5.790833985512425786e-01
4.599999999999999645e-01,5.950505196677711162e-01
4.799999999999999822e-01,6.112150350897471718e-01
5.000000000000000000e-01,6.274984531249999664e-01
5.200000000000000178e-01,6.438019780342940646e-01
5.400000000000000355e-01,6.600047001532889368e-01
5.600000000000000533e-01,6.759619455100355223e-01
5.800000000000000711e-01,6.915038436665013055e-01
6.000000000000000888e-01,7.064341788687359402e-01
6.200000000000001066e-01,7.205295962553625033e-01
6.400000000000001243e-01,7.335392418531019310e-01
6.600000000000001421e-01,7.451849223860007587e-01
6.799999999999999378e-01,7.551618785469017547e-01
6.999999999999999556e-01,7.631402733305041597e-01
7.199999999999999734e-01,7.687675053120470725e-01
7.399999999999999911e-01,7.716714653792466905e-01
7.600000000000000089e-01,7.714648643925752225e-01
7.800000000000000266e-01,7.677507685653167657e-01
8.000000000000000444e-01,7.601294890250241965e-01
8.200000000000000622e-01,7.482069820470433896e-01
8.400000000000000799e-01,7.316049268436528585e-01
8.600000000000000977e-01,7.099726585540651058e-01
8.800000000000001155e-01,6.830011452160544838e-01
9.000000000000001332e-01,6.504392090142956384e-01
9.199999999999999289e-01,6.121122039986143237e-01
9.399999999999999467e-01,5.679433747522194542e-01
9.599999999999999645e-01,5.179781331706923009e-01
9.799999999999999822e-01,4.624115035918731631e-01
1.000000000000000000e+00,4.016190000000002258e-01
