# Reference: Atomic Data and Nuclear Data Tables, Vol. 78, No. 2, July 2001, p. 312.
# Table II-28. Muons in Water (liquid) (H2O)
#
# <Z/A> = 0.55509
# rho (g/cm^3) = 1.000
# I (eV) = 75.0
# a = 0.09116
# k = m_s = 3.4773
# x_0 = 0.2400
# x_1 = 2.8004
# Cbar = 3.5017
# delta_0 = 0.00
# E_mu_c (GeV) = 1032.
# <-dE/dx>_min (MeV cm^2/g) = 1.992
#
#                                         [          <-dE/dx> (MeV/cm cm^3/g)          ]
# kinetic energy (GeV), momentum (MeV/c), ionization, brems, pair prod, photonucl, total, CSDA range (cm*g/cm^2)
10.0e-3, 4.704e+1,   7.965,     nan,     nan,     nan,   7.965, 7.030e-1
14.0e-3, 5.616e+1,   6.213,     nan,     nan,     nan,   6.213, 1.278e+0
20.0e-3, 6.802e+1,   4.852,     nan,     nan,     nan,   4.852, 2.383e+0
30.0e-3, 8.509e+1,   3.764,     nan,     nan,     nan,   3.764, 4.756e+0
40.0e-3, 1.003e+2,   3.214,     nan,     nan,     nan,   3.214, 7.649e+0
80.0e-3, 1.527e+2,   2.413,     nan,     nan,     nan,   2.413, 2.247e+1
100.e-3, 1.764e+2,   2.270,     nan,     nan,     nan,   2.270, 3.104e+1
140.e-3, 2.218e+2,   2.116,     nan,     nan,     nan,   2.116, 4.937e+1
200.e-3, 2.868e+2,   2.026,     nan,     nan,     nan,   2.026, 7.845e+1
300.e-3, 3.917e+2,   1.992,     nan,     nan,   0.000,   1.992, 1.284e+2
318.e-3, 4.105e+2,   1.992,     nan,     nan,   0.000,   1.992,      nan
400.e-3, 4.945e+2,   1.998,     nan,     nan,   0.000,   1.999, 1.785e+2
800.e-3, 8.995e+2,   2.074,   0.000,     nan,   0.000,   2.075, 3.750e+2
1.00e+0, 1.101e+3,   2.109,   0.000,     nan,   0.000,   2.109, 4.706e+2
1.40e+0, 1.502e+3,   2.165,   0.000,     nan,   0.001,   2.166, 6.576e+2
2.00e+0, 2.103e+3,   2.227,   0.001,   0.000,   0.001,   2.229, 9.305e+2
3.00e+0, 3.104e+3,   2.297,   0.001,   0.001,   0.001,   2.300, 1.372e+3
4.00e+0, 4.104e+3,   2.346,   0.001,   0.001,   0.002,   2.351, 1.801e+3
8.00e+0, 8.105e+3,   2.458,   0.004,   0.003,   0.004,   2.470, 3.456e+3
10.0e+0, 1.011e+4,   2.492,   0.005,   0.005,   0.005,   2.507, 4.260e+3
14.0e+0, 1.411e+4,   2.542,   0.007,   0.008,   0.007,   2.564, 5.837e+3
20.0e+0, 2.011e+4,   2.592,   0.011,   0.013,   0.009,   2.625, 8.148e+3
30.0e+0, 3.011e+4,   2.645,   0.019,   0.023,   0.013,   2.701, 1.190e+4
40.0e+0, 4.011e+4,   2.682,   0.027,   0.034,   0.018,   2.760, 1.556e+4
80.0e+0, 8.011e+4,   2.766,   0.060,   0.081,   0.034,   2.942, 2.958e+4
100.e+0, 1.001e+5,   2.792,   0.078,   0.107,   0.042,   3.020, 3.629e+4
140.e+0, 1.401e+5,   2.831,   0.116,   0.161,   0.059,   3.166, 4.922e+4
200.e+0, 2.001e+5,   2.871,   0.174,   0.246,   0.084,   3.376, 6.756e+4
300.e+0, 3.001e+5,   2.917,   0.275,   0.391,   0.125,   3.709, 9.581e+4
400.e+0, 4.001e+5,   2.950,   0.379,   0.543,   0.167,   4.039, 1.216e+5
800.e+0, 8.001e+5,   3.030,   0.814,   1.172,   0.337,   5.352, 2.074e+5
1.00e+3, 1.000e+6,   3.055,   1.038,   1.497,   0.423,   6.014, 2.426e+5
1.03e+3, 1.032e+6,   3.059,   1.074,   1.548,   0.437,   6.118,      nan
1.40e+3, 1.400e+6,   3.095,   1.491,   2.143,   0.601,   7.330, 3.028e+5
2.00e+3, 2.000e+6,   3.137,   2.186,   3.134,   0.870,   9.327, 3.752e+5
3.00e+3, 3.000e+6,   3.186,   3.352,   4.784,   1.332,  12.654, 4.669e+5
4.00e+3, 4.000e+6,   3.221,   4.537,   6.457,   1.803,  16.018, 5.370e+5
8.00e+3, 8.000e+6,   3.307,   9.338,  13.194,   3.763,  29.603, 7.179e+5
10.0e+3, 1.000e+7,   3.335,  11.766,  16.587,   4.773,  36.462, 7.787e+5
14.0e+3, 1.400e+7,   3.378,  16.613,  23.347,   6.854,  50.192, 8.718e+5
20.0e+3, 2.000e+7,   3.425,  23.944,  33.544,  10.051,  70.964, 9.719e+5
30.0e+3, 3.000e+7,   3.479,  36.151,  50.510,  15.600, 105.740, 1.087e+6
40.0e+3, 4.000e+7,   3.517,  48.424,  67.530,  21.296, 140.768, 1.168e+6
80.0e+3, 8.000e+7,   3.613,  97.657, 135.668,  45.199, 282.138, 1.365e+6
100.e+3, 1.000e+8,   3.645, 122.347, 169.776,  57.590, 353.358, 1.428e+6
