# Sampled DOM angular sensitivity curve, as.h3-30cm model
# coszen,sensitivity
-1.000000000000000000e+00,5.899999999999794298e-03
-9.799999999999999822e-01,6.865512976336640705e-03
-9.599999999999999645e-01,7.086514435144630752e-03
-9.399999999999999467e-01,7.125123353405315996e-03
-9.200000000000000400e-01,7.419105057994146435e-03
-9.000000000000000222e-01,8.294885828919129622e-03
-8.800000000000000044e-01,9.980572681562271953e-03
-8.599999999999999867e-01,1.261877936481603513e-02
-8.399999999999999689e-01,1.627908806413541631e-02
-8.200000000000000622e-01,2.097000284104794110e-02
-8.000000000000000444e-01,2.665027552767973429e-02
-7.800000000000000266e-01,3.323950768049148408e-02
-7.600000000000000089e-01,4.062795333585439428e-02
-7.399999999999999911e-01,4.868546675548075797e-02
-7.199999999999999734e-01,5.726955715614953646e-02
-6.999999999999999556e-01,6.623252863988007832e-02
-6.799999999999999378e-01,7.542769823175682342e-02
-6.599999999999999201e-01,8.471469814721177549e-02
-6.400000000000000133e-01,9.396388020282772646e-02
-6.199999999999999956e-01,1.030598507088347354e-01
-5.999999999999999778e-01,1.119041732915199983e-01
-5.800000000000000711e-01,1.204172849439707621e-01
-5.600000000000000533e-01,1.285396772480102701e-01
-5.400000000000000355e-01,1.362324002030611270e-01
-5.200000000000000178e-01,1.434769504930985262e-01
-5.000000000000000000e-01,1.502746093750000067e-01
-4.799999999999999822e-01,1.566452977345987041e-01
-4.599999999999999645e-01,1.626260172847585894e-01
-4.399999999999999467e-01,1.682689474269532248e-01
-4.200000000000000400e-01,1.736392670183000975e-01
-4.000000000000000222e-01,1.788127692339200048e-01
-3.800000000000000044e-01,1.838733359440123949e-01
-3.599999999999999867e-01,1.889103355903009318e-01
-3.399999999999999689e-01,1.940160055016689478e-01
-3.199999999999999512e-01,1.992828759880052591e-01
-2.999999999999999334e-01,2.048012894486800073e-01
-2.800000000000000266e-01,2.106570631818040495e-01
-2.600000000000000089e-01,2.169293396366466786e-01
-2.399999999999999911e-01,2.236886625684459395e-01
-2.199999999999999734e-01,2.309953119864852911e-01
-1.999999999999999556e-01,2.388979249868800059e-01
-1.799999999999999378e-01,2.474324235851717568e-01
-1.600000000000000311e-01,2.566212645647010793e-01
-1.400000000000000133e-01,2.664730201889853323e-01
-1.199999999999999956e-01,2.769822924441014411e-01
-9.999999999999997780e-02,2.881299573345199594e-01
-7.999999999999996003e-02,2.998837297071021979e-01
-5.999999999999994227e-02,3.121990331772028782e-01
-4.000000000000003553e-02,3.250201540321682736e-01
-2.000000000000001776e-02,3.382816525451283196e-01
0.000000000000000000e+00,3.519100000000000006e-01
2.000000000000001776e-02,3.658254049612007508e-01
4.000000000000003553e-02,3.799437879728519429e-01
6.000000000000005329e-02,3.941788599963956252e-01
8.000000000000007105e-02,4.084442565466867570e-01
1.000000000000000888e-01,4.226556767189200703e-01
1.200000000000001066e-01,4.367329741663353859e-01
1.400000000000001243e-01,4.506021456456919538e-01
1.599999999999999201e-01,4.641971620481252225e-01
1.799999999999999378e-01,4.774615869313805216e-01
1.999999999999999556e-01,4.903499285196799007e-01
2.199999999999999734e-01,5.028286729937829769e-01
2.399999999999999911e-01,5.148769497102907433e-01
2.600000000000000089e-01,5.264867828200650024e-01
2.800000000000000266e-01,5.376628886549460473e-01
3.000000000000000444e-01,5.484219842738801143e-01
3.200000000000000622e-01,5.587915797582873045e-01
3.400000000000000799e-01,5.688082352761434368e-01
3.600000000000000977e-01,5.785152736489541647e-01
3.800000000000001155e-01,5.879599502097495600e-01
4.000000000000001332e-01,5.971900941875201152e-01
4.199999999999999289e-01,6.062502497483522879e-01
4.399999999999999467e-01,6.151773602200016899e-01
4.599999999999999645e-01,6.239960559789529126e-01
4.799999999999999822e-01,6.327136250412810359e-01
5.000000000000000000e-01,6.413147656249998940e-01
5.200000000000000178e-01,6.497562418962256059e-01
5.400000000000000355e-01,6.579615878285142161e-01
5.600000000000000533e-01,6.658160296483343066e-01
5.800000000000000711e-01,6.731618247639221675e-01
6.000000000000000888e-01,6.797942444339201140e-01
6.200000000000001066e-01,6.854584587803338458e-01
6.400000000000001243e-01,6.898476161416402519e-01
6.600000000000001421e-01,6.926024442504523648e-01
6.799999999999999378e-01,6.933127383601713767e-01
6.999999999999999556e-01,6.915211412906797639e-01
7.199999999999999734e-01,6.867296624684611217e-01
7.399999999999999911e-01,6.784094274557834758e-01
7.600000000000000089e-01,6.660141962508475677e-01
7.800000000000000266e-01,6.489982378502477944e-01
8.000000000000000444e-01,6.268392002508799132e-01
8.200000000000000622e-01,5.990666692846786656e-01
8.400000000000000799e-01,5.652971664804649077e-01
8.600000000000000977e-01,5.252763955868215984e-01
8.800000000000001155e-01,4.789296095225011873e-01
9.000000000000001332e-01,4.264210344005192610e-01
9.199999999999999289e-01,3.682233549529499994e-01
9.399999999999999467e-01,3.051983362196466487e-01
9.599999999999999645e-01,2.386897298098966669e-01
9.799999999999999822e-01,1.706296894553738230e-01
1.000000000000000000e+00,1.036599999999998634e-01
