# Sampled DOM wavelength acceptance
# wavelength (nm), acceptance
2.600000000000000000e+02,9.314490642168118327e-06
2.650000000000000000e+02,8.941785189196615026e-06
2.700000000000000000e+02,8.590893641019262694e-06
2.750000000000000000e+02,8.260177045525737019e-06
2.800000000000000000e+02,7.948144903225600572e-06
2.850000000000000000e+02,7.653439470550001036e-06
2.900000000000000000e+02,7.374821957985616031e-06
2.950000000000000000e+02,4.766820573073490933e-06
3.000000000000000000e+02,2.337404048420421547e-06
3.050000000000000000e+02,6.986979623306356385e-05
3.100000000000000000e+02,1.328201803980646968e-04
3.150000000000000000e+02,3.305995126790236887e-04
3.200000000000000000e+02,5.153403540109272171e-04
3.250000000000000000e+02,1.010130017399055429e-03
3.300000000000000000e+02,1.473275941465616639e-03
3.350000000000000000e+02,2.228967590557749505e-03
3.400000000000000000e+02,2.937552802544871229e-03
3.450000000000000000e+02,3.851569300603736347e-03
3.500000000000000000e+02,4.709889424319076492e-03
3.550000000000000000e+02,5.065643213090879893e-03
3.600000000000000000e+02,5.398931655633003660e-03
3.650000000000000000e+02,5.807428188263974618e-03
3.700000000000000000e+02,6.190952674566678124e-03
3.750000000000000000e+02,6.307876312304946248e-03
3.800000000000000000e+02,6.416197159542746421e-03
3.850000000000000000e+02,6.449028008860403609e-03
3.900000000000000000e+02,6.477934292462027982e-03
3.950000000000000000e+02,6.463520132531751575e-03
4.000000000000000000e+02,6.447760348330921695e-03
4.050000000000000000e+02,6.375869587930025131e-03
4.100000000000000000e+02,6.305615367383488740e-03
4.150000000000000000e+02,6.155049139802065868e-03
4.200000000000000000e+02,6.010015000209399834e-03
4.250000000000000000e+02,5.790564467924310191e-03
4.300000000000000000e+02,5.579918587165680344e-03
4.350000000000000000e+02,5.364368809877962871e-03
4.400000000000000000e+02,5.157378670190098519e-03
4.450000000000000000e+02,4.954164811429143112e-03
4.500000000000000000e+02,4.758885210689351407e-03
4.550000000000000000e+02,4.547397878325597047e-03
4.600000000000000000e+02,4.344152570496316416e-03
4.650000000000000000e+02,4.106897574646315753e-03
4.700000000000000000e+02,3.878938111854181043e-03
4.750000000000000000e+02,3.681742673307987056e-03
4.800000000000000000e+02,3.492060347521861504e-03
4.850000000000000000e+02,3.334840802153874080e-03
4.900000000000000000e+02,3.183410414327932005e-03
4.950000000000000000e+02,3.053098365969221691e-03
5.000000000000000000e+02,2.927436210434094903e-03
5.050000000000000000e+02,2.793931879340894302e-03
5.100000000000000000e+02,2.665173228697837425e-03
5.150000000000000000e+02,2.452762051275030920e-03
5.200000000000000000e+02,2.248151448390888971e-03
5.250000000000000000e+02,1.988017351598927399e-03
5.300000000000000000e+02,1.737451284702826518e-03
5.350000000000000000e+02,1.551890086263307692e-03
5.400000000000000000e+02,1.373006538338250896e-03
5.450000000000000000e+02,1.251917913086402672e-03
5.500000000000000000e+02,1.135068667650223012e-03
5.550000000000000000e+02,1.050485786503142218e-03
5.600000000000000000e+02,9.687843465250525624e-04
5.650000000000000000e+02,8.932293347915678909e-04
5.700000000000000000e+02,8.202127420781176641e-04
5.750000000000000000e+02,7.522519092800855839e-04
5.800000000000000000e+02,6.865449000739027577e-04
5.850000000000000000e+02,6.184531907826897046e-04
5.900000000000000000e+02,5.526030336757821416e-04
5.950000000000000000e+02,4.949213428436481654e-04
6.000000000000000000e+02,4.391119335492365628e-04
6.050000000000000000e+02,3.843775542202025912e-04
6.100000000000000000e+02,3.314027559006257396e-04
6.150000000000000000e+02,2.897967086819252516e-04
6.200000000000000000e+02,2.495070048993467651e-04
6.250000000000000000e+02,2.065349712636323177e-04
6.300000000000000000e+02,1.649119499217498012e-04
6.350000000000000000e+02,1.357265305573985734e-04
6.400000000000000000e+02,1.074429302343858780e-04
6.450000000000000000e+02,8.466307635261674654e-05
6.500000000000000000e+02,6.257789274392503006e-05
6.550000000000000000e+02,4.967037938163093211e-05
6.600000000000000000e+02,3.714979145750394509e-05
6.650000000000000000e+02,3.004016022425773402e-05
6.700000000000000000e+02,2.313985176091805292e-05
6.750000000000000000e+02,1.647006414129891064e-05
6.800000000000000000e+02,9.994338446581489904e-06
